"","IMPACT","OCCURRENCE"
"min",0.25,0.5
"q1",49.5,43.5
"median",66.75,59.5
"mean",63.7577341492436,57.4870230700976
"q3",81,74.5
"max",100,100
"iqr",31.5,31
