"","IMPACT","OCCURRENCE"
"min",0.5,0
"q1",50.75,25.75
"median",68.25,40.25
"mean",64.5183082706767,39.4806294142086
"q3",81.75,51.5
"max",100,94.5
"iqr",31,25.75
