"","IMPACT","OCCURRENCE"
"min",0.75,0.75
"q1",41.5,41.25
"median",57,54.5
"mean",56.6741482826026,53.9240880869228
"q3",72.25,70
"max",100,96.25
"iqr",30.75,28.75
