"","IMPACT","OCCURRENCE"
"min",0.5,1.75
"q1",50.5,37
"median",68.75,55
"mean",65.2055912758447,56.0122184445389
"q3",82.75,77.75
"max",100,100
"iqr",32.25,40.75
