"","IMPACT","OCCURRENCE"
"min",1.5,1.5
"q1",43.25,31.5
"median",60.75,46.25
"mean",59.3336719979025,47.0413395193909
"q3",76.5,60.5
"max",100,98.25
"iqr",33.25,29
