"","IMPACT","OCCURRENCE"
"min",1.75,0.5
"q1",42.75,18.4375
"median",61.25,37.375
"mean",58.7244582043344,40.2155911552347
"q3",78,57.25
"max",100,99
"iqr",35.25,38.8125
