"","IMPACT","OCCURRENCE"
"min",2,0
"q1",41.5,30.75
"median",60.5,47.75
"mean",58.1519771651351,48.2245907230559
"q3",76,65.25
"max",99.75,96
"iqr",34.5,34.5
