"","IMPACT","OCCURRENCE"
"min",0,0
"q1",42.3125,10.5
"median",63.75,18.75
"mean",60.0353773584906,24.5787589498807
"q3",82,33
"max",100,95.75
"iqr",39.6875,22.5
