"","IMPACT","OCCURRENCE"
"min",1.5,0.5
"q1",47.5,29.25
"median",63.75,44.75
"mean",61.2644897102058,45.1653543307087
"q3",77.25,57.75
"max",100,96.25
"iqr",29.75,28.5
