"","IMPACT","OCCURRENCE"
"min",2,0.75
"q1",41.5,31.5
"median",65.25,53.75
"mean",60.2675417274348,51.9511494252874
"q3",80.75,72.75
"max",100,100
"iqr",39.25,41.25
