"","IMPACT","OCCURRENCE"
"min",0.75,0.75
"q1",42.25,44
"median",58.25,59.25
"mean",57.5694870670758,59.2690946930281
"q3",74.75,77.75
"max",100,99.5
"iqr",32.5,33.75
