"","IMPACT","OCCURRENCE"
"min",0.5,0.25
"q1",59.75,42
"median",76.5,59.5
"mean",71.2547942001871,57.6171664571736
"q3",86.75,77.25
"max",100,100
"iqr",27,35.25
