"","IMPACT","OCCURRENCE"
"min",1,1.25
"q1",41.5,37.5
"median",58.25,61.5
"mean",58.3363217213115,57.5936437797417
"q3",78.8125,80.75
"max",100,100
"iqr",37.3125,43.25
