"","IMPACT","OCCURRENCE"
"min",3.75,1.5
"q1",46.5,43.3125
"median",63.5,63.5
"mean",61.7786271450858,60.3795318953648
"q3",81.25,82.5
"max",100,100
"iqr",34.75,39.1875
