"","IMPACT","OCCURRENCE"
"min",2.25,0.5
"q1",44.5,36.4375
"median",59.5,53.25
"mean",57.6510478158205,53.028030993619
"q3",74,72.75
"max",100,99.25
"iqr",29.5,36.3125
