BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
526;Risiko;345;classic;ja;2;3;4;;;;;45
526;Chance;346;classic;ja;3;3;5;;;;;45
526;Risiko;347;classic;ja;4;2;4;;;;;37
526;Risiko;348;classic;ja;5;2;3;;;;;17
526;Risiko;349;classic;ja;6;2;2;;;;;13
526;Risiko;350;classic;ja;7;2;4;;;;;18
526;Risiko;351;classic;ja;8;3;3;;;;;16
526;Risiko;352;classic;ja;9;4;4;;;;;21
526;Risiko;353;classic;ja;10;4;4;;;;;16
526;Risiko;354;classic;ja;11;4;5;;;;;18
526;Risiko;355;classic;ja;12;3;5;;;;;22
526;Risiko;356;classic;ja;13;2;2;;;;;13
526;Risiko;357;classic;ja;14;3;3;;;;;26
526;Risiko;358;classic;ja;15;2;2;;;;;28
526;Risiko;359;classic;ja;16;3;4;;;;;25
526;Risiko;360;classic;ja;17;3;4;;;;;15
526;Risiko;361;classic;ja;18;3;2;;;;;22
526;Risiko;362;classic;ja;19;3;3;;;;;25
526;Risiko;363;classic;ja;20;2;1;;;;;31
526;Chance;364;classic;ja;21;1;1;;;;;24
526;Risiko;365;classic;ja;22;2;2;;;;;12
526;Chance;366;classic;ja;23;4;2;;;;;25
526;Chance;297;classic;ja;24;5;5;;;;;27
526;Risiko;298;classic;ja;25;2;1;;;;;9
526;Risiko;281;classic;nein;26;;;;;;;13
526;Risiko;282;classic;ja;27;2;2;;;;;27
526;Risiko;283;classic;ja;28;1;1;;;;;12
526;Risiko;284;classic;ja;29;2;2;;;;;12
526;Risiko;285;classic;ja;30;2;3;;;;;12
526;Risiko;286;classic;ja;31;3;5;;;;;13
526;Chance;287;classic;ja;32;5;5;;;;;22
526;Chance;288;classic;ja;33;4;5;;;;;17
526;Risiko;289;classic;ja;34;4;1;;;;;14
526;Chance;290;classic;ja;35;4;5;;;;;24
526;Chance;291;classic;ja;36;1;1;;;;;8
526;Chance;292;classic;ja;37;1;1;;;;;5
526;Chance;293;classic;ja;38;4;5;;;;;48
526;Chance;294;classic;ja;39;5;1;;;;;9
526;Risiko;295;classic;ja;40;5;1;;;;;3
526;Risiko;296;classic;ja;41;5;1;;;;;5
526;Risiko;320;classic;ja;42;5;1;;;;;4
526;Risiko;321;classic;ja;43;5;1;;;;;6
526;Risiko;299;classic;ja;44;5;1;;;;;2
526;Risiko;300;classic;ja;45;5;1;;;;;2
526;Risiko;301;classic;ja;46;5;1;;;;;2
526;Risiko;302;classic;ja;47;5;1;;;;;2
526;Risiko;303;classic;ja;48;5;1;;;;;3
526;Risiko;304;classic;ja;49;5;1;;;;;2
526;Risiko;305;classic;ja;50;5;1;;;;;2
526;Risiko;306;classic;ja;51;5;1;;;;;2
526;Risiko;307;classic;ja;52;5;1;;;;;2
526;Risiko;308;classic;ja;53;5;1;;;;;2
526;Chance;309;classic;ja;54;5;1;;;;;2
526;Risiko;310;classic;ja;55;5;1;;;;;2
526;Risiko;311;classic;ja;56;5;1;;;;;2
526;Risiko;312;classic;ja;57;5;1;;;;;1
526;Risiko;313;classic;ja;58;5;1;;;;;1
526;Risiko;314;classic;ja;59;5;1;;;;;1
526;Risiko;315;classic;ja;60;5;1;;;;;1
526;Risiko;316;classic;ja;61;5;1;;;;;2
526;Chance;317;classic;ja;62;5;1;;;;;3
526;Risiko;318;classic;ja;63;5;1;;;;;2
526;Chance;319;classic;ja;64;5;1;;;;;2
526;Chance;322;classic;ja;65;5;1;;;;;2
526;Chance;323;classic;ja;66;5;1;;;;;2
526;Risiko;324;classic;ja;67;5;1;;;;;2
526;Risiko;340;classic;ja;68;5;1;;;;;1
526;Risiko;341;classic;ja;69;5;1;;;;;1
526;Risiko;342;classic;ja;70;5;1;;;;;1
526;Risiko;343;classic;ja;71;5;1;;;;;2
526;Chance;325;classic;ja;72;5;1;;;;;2
526;Risiko;326;classic;ja;73;5;1;;;;;2
526;Risiko;327;classic;ja;74;5;1;;;;;2
526;Risiko;328;classic;ja;75;5;1;;;;;1
526;Risiko;329;classic;ja;76;5;1;;;;;2
526;Risiko;330;classic;ja;77;5;1;;;;;2
526;Risiko;331;classic;ja;78;5;1;;;;;2
526;Chance;332;classic;ja;79;5;1;;;;;1
526;Risiko;333;classic;ja;80;5;1;;;;;2
526;Risiko;334;classic;ja;81;5;1;;;;;2
526;Risiko;335;classic;ja;82;5;1;;;;;2
526;Risiko;336;classic;ja;83;5;1;;;;;2
526;Risiko;337;classic;ja;84;5;1;;;;;2
526;Risiko;338;classic;ja;85;5;1;;;;;2
526;Risiko;339;classic;ja;86;5;1;;;;;1
526;Risiko;281;graphic;nein;26;;;;;;;
527;Risiko;352;classic;nein;9;;;;;;;
527;Risiko;354;classic;nein;11;;;;;;;
527;Risiko;360;classic;nein;17;;;;;;;
527;Risiko;362;classic;nein;19;;;;;;;
527;Risiko;344;graphic;ja;1;;;63,75;40,5;86,25;52,25;85
527;Risiko;345;graphic;ja;2;;;17,75;17,75;35;27,75;32
527;Chance;346;graphic;ja;3;;;68,5;44,75;95,75;56,5;23
527;Risiko;347;graphic;ja;4;;;47,75;83,75;89,25;96,25;123
527;Risiko;348;graphic;ja;5;;;35,5;46;66,5;57,25;37
527;Risiko;349;graphic;ja;6;;;30,25;43;64,75;54,5;16
527;Risiko;350;graphic;ja;7;;;29,75;59,25;73;72,75;17
527;Risiko;351;graphic;ja;8;;;24,75;23;60,75;32,5;24
527;Risiko;352;graphic;nein;9;;;;;;;10
527;Risiko;353;graphic;ja;10;;;30,5;46,25;81,25;55,25;12
527;Risiko;354;graphic;nein;11;;;;;;;12
527;Risiko;355;graphic;ja;12;;;51,5;67,25;93,25;79,75;16
527;Risiko;356;graphic;ja;13;;;51;77,5;94,75;91,25;13
527;Risiko;357;graphic;ja;14;;;25,25;36,5;78,25;61,5;16
