QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
3974;1;classic;5;3,6;,5;2,6;,5;9,36
3974;2;classic;0;;;;;
3974;0;classic;5;3,6;,5;2,6;,5;9,36
3970;1;classic;6;2,3;,5;2,7;1;6,21
3970;2;classic;0;;;;;
3970;0;classic;6;2,3;,5;2,7;1;6,21
3973;1;classic;6;2,8;,8;2,7;1;7,56
3973;2;classic;0;;;;;
3973;0;classic;6;2,8;,8;2,7;1;7,56
3972;1;classic;6;4;,6;3,5;,5;14
3972;2;classic;0;;;;;
3972;0;classic;6;4;,6;3,5;,5;14
3971;1;classic;6;4;0;3,5;,8;14
3971;2;classic;0;;;;;
3971;0;classic;6;4;0;3,5;,8;14
3966;1;classic;6;3,2;,8;3,2;1,2;10,24
3966;2;classic;0;;;;;
3966;0;classic;6;3,2;,8;3,2;1,2;10,24
3964;1;classic;6;4;1,1;3,8;1;15,2
3964;2;classic;0;;;;;
3964;0;classic;6;4;1,1;3,8;1;15,2
3965;1;classic;6;2,8;,8;2,8;,8;7,84
3965;2;classic;0;;;;;
3965;0;classic;6;2,8;,8;2,8;,8;7,84
3969;1;classic;6;3,3;,8;3,5;1;11,55
3969;2;classic;0;;;;;
3969;0;classic;6;3,3;,8;3,5;1;11,55
3967;1;classic;5;3,2;1,3;3,6;1,1;11,52
3967;2;classic;0;;;;;
3967;0;classic;5;3,2;1,3;3,6;1,1;11,52
3968;1;classic;5;3,4;,9;3,4;1,1;11,56
3968;2;classic;0;;;;;
3968;0;classic;5;3,4;,9;3,4;1,1;11,56
3963;1;classic;4;3,5;,6;3,3;,5;11,55
3963;2;classic;0;;;;;
3963;0;classic;4;3,5;,6;3,3;,5;11,55
3962;1;classic;6;2,8;,8;3,3;,5;9,24
3962;2;classic;0;;;;;
3962;0;classic;6;2,8;,8;3,3;,5;9,24
3961;1;classic;6;3;,6;3;,6;9
3961;2;classic;0;;;;;
3961;0;classic;6;3;,6;3;,6;9
