QUES2SURV_ID;ROL;METHOD;CNTVAL;MIIMP;SAIMP;MIOCC;SAOCC;MIRPZ
4039;1;classic;4;2,3;1;2,8;1,3;6,44
4039;2;classic;0;;;;;
4039;0;classic;4;2,3;1;2,8;1,3;6,44
