QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
3865;8;765;281;36;classic;PA003;765;Risiko;eine mögliche Aussiedelung von Stationen (Kinder) ist nicht möglich;Risikofrage;Projektablauf;PA;;
3874;11;774;281;37;classic;PA004;774;Risiko;Einsprucherhebung bei der Ausschreibung;Risikofrage;Projektablauf;PA;;
3875;11;775;281;38;classic;PA005;775;Risiko;Einsprucherhebung im Behördenverfahren uvm.;Risikofrage;Projektablauf;PA;;
3888;11;788;281;39;classic;PA006;788;Risiko;es besteht kein effizientes Änderungsmanagement;Risikofrage;Projektablauf;PA;;
3885;9;785;281;40;classic;PA007;785;Risiko;gemeinsame Nutzung der Sanitär-Anlagen und die daraus resultierende Verunreinigung;Risikofrage;Projektablauf;PA;;
3883;11;783;281;41;classic;PA008;783;Risiko;Keine Berücksichtigung innerhalb der Planung des Projektes von Dienstplänen, Urlaubszeiten oder Zeiten mit arbeitsintensiven Tätigkeiten (z.B. Jahresabschluss uvm.);Risikofrage;Projektablauf;PA;;
3870;11;770;281;42;classic;PA009;770;Risiko;Keine Motivation der Auftragnehmer vorhanden;Risikofrage;Projektablauf;PA;;
3871;11;771;281;43;classic;PA010;771;Risiko;Know-How-Träger (extern) nicht verfügbar;Risikofrage;Projektablauf;PA;;
3868;11;768;281;44;classic;PA011;768;Risiko;Kommunikationsfehler mit Auftragnehmer (keine Planer);Risikofrage;Projektablauf;PA;;
3867;9;767;281;45;classic;PA012;767;Risiko;Kostenerfassung schwierig (Schätzung des Folgeprojektes);Risikofrage;Projektablauf;PA;;
3889;11;766;281;46;classic;PA013;766;Risiko;Kostenüberschreitung möglich;Risikofrage;Projektablauf;PA;;
3877;11;777;281;47;classic;PA014;777;Risiko;Lange Projektdauer;Risikofrage;Projektablauf;PA;;
3886;11;786;281;48;classic;PA015;786;Risiko;mikrobiologische Verkeimung der bestehenden Wasserleitungen;Risikofrage;Projektablauf;PA;;
3887;11;787;281;49;classic;PA016;787;Risiko;nicht erkannte Hygieneprobleme;Risikofrage;Projektablauf;PA;;
3872;11;772;281;50;classic;PA017;772;Risiko;Planung ungenau oder nicht vollständig;Risikofrage;Projektablauf;PA;;
3876;11;776;281;51;classic;PA018;776;Risiko;Projektdokumentation nicht vollständig bzw. nicht vorhanden;Risikofrage;Projektablauf;PA;;
3869;11;769;281;52;classic;PA019;769;Risiko;Ressourcenverfügbarkeit bei Auftragnehmer (keine Planer) nicht vorhanden;Risikofrage;Projektablauf;PA;;
3880;11;780;281;53;classic;PA020;780;Risiko;Schleppende, eventuell kostenerhöhende Planung durch laufende Änderungen der Betreiber;Risikofrage;Projektablauf;PA;;
3879;11;779;281;54;classic;PA021;779;Risiko;Schleppende, eventuell kostenerhöhende Planung durch laufende Nutzeränderungsbedarfe;Risikofrage;Projektablauf;PA;;
3866;11;789;281;55;classic;PA022;789;Risiko;verzögerte Freigabe von Planungsschritten und Genehmigungschritten (PA1);Risikofrage;Projektablauf;PA;;
3882;11;782;281;56;classic;PA023;782;Risiko;Vorgegebene Laufzeiten und Fristen sind nicht berücksichtigt (Beschlussfassung Aufsichtsrat, Einreichung Landesrechnungshof, Ausschreibungsverfahren uvm.);Risikofrage;Projektablauf;PA;;
3881;11;781;281;57;classic;PA024;781;Risiko;Vorgegebene Projektpläne sind nicht abgestimmt und unrealistisch;Risikofrage;Projektablauf;PA;;
3878;11;778;281;58;classic;PA025;778;Risiko;zu kurze Projektvorbereitung;Risikofrage;Projektablauf;PA;;
3848;11;853;281;59;classic;PF001;853;Chance;Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche;Chancenfrage;Projektfolgen;PF;;
3864;11;852;281;60;classic;PF002;852;Chance;Baufeldfreimachung für zukünftige Projekte;Chancenfrage;Projektfolgen;PF;;
3850;11;791;281;61;classic;PF003;791;Risiko;Betriebsorganisationskonzept nicht gelöst;Risikofrage;Projektfolgen;PF;;
3849;11;790;281;62;classic;PF004;790;Risiko;Folgekostenermittlung nicht transparent;Risikofrage;Projektfolgen;PF;;
3857;9;798;281;63;classic;PF005;798;Risiko;Gefährdung bestehender Zertifizierungen (ISO, Onko-Zentrum, UEMS, EMAS);Risikofrage;Projektfolgen;PF;;
3863;11;851;281;64;classic;PF006;851;Chance;Harmonisierung unterschiedlicher Standards und Umsetzungsgrade in prozessübergreifenden Managementsystemen (z. B.  Qualitäts- und Risikomanagement, ISMS, Compliance) und anderen Systemen;Chancenfrage;Projektfolgen;PF;;
