"","type","method1","method2","distance"
"1","IMPACT","classic","area",8.00895
"2","OCCURRENCE","classic","area",8.65873676470588
"3","IMPACT","area","center",3.81762941176471
"4","OCCURRENCE","area","center",2.08862352941176
"5","IMPACT","classic","center",6.5716
"6","OCCURRENCE","classic","center",8.87530147058824
"7","IMPACT","area","centertogrid",6.15267647058824
"8","OCCURRENCE","area","centertogrid",5.21000735294118
"9","IMPACT","center","centertogrid",4.59618235294118
"10","OCCURRENCE","center","centertogrid",4.46160735294118
"11","IMPACT","classic","centertogrid",5.00010588235294
"12","OCCURRENCE","classic","centertogrid",8.05030588235294
"13","IMPACT","area","pooling",18.9193191176471
"14","OCCURRENCE","area","pooling",18.847
"15","IMPACT","center","pooling",16.3003705882353
"16","OCCURRENCE","center","pooling",18.3186852941176
"17","IMPACT","centertogrid","pooling",17.1371735294118
"18","OCCURRENCE","centertogrid","pooling",18.9242161764706
"19","IMPACT","classic","pooling",13.9518647058824
"20","OCCURRENCE","classic","pooling",16.2469676470588
"21","IMPACT","reachedgrid","pooling",19.4503397058824
"22","OCCURRENCE","reachedgrid","pooling",19.3339161764706
"23","IMPACT","weighted","pooling",17.7695661764706
"24","OCCURRENCE","weighted","pooling",18.6794823529412
"25","IMPACT","area","reachedgrid",5.02314411764706
"26","OCCURRENCE","area","reachedgrid",5.02254117647059
"27","IMPACT","center","reachedgrid",5.95444411764706
"28","OCCURRENCE","center","reachedgrid",4.94405147058824
"29","IMPACT","centertogrid","reachedgrid",3.75719852941176
"30","OCCURRENCE","centertogrid","reachedgrid",2.17986764705882
"31","IMPACT","classic","reachedgrid",6.66112205882353
"32","OCCURRENCE","classic","reachedgrid",7.49730882352941
"33","IMPACT","area","weighted",2.18032941176471
"34","OCCURRENCE","area","weighted",1.09282941176471
"35","IMPACT","center","weighted",2.32811617647059
"36","OCCURRENCE","center","weighted",1.89256617647059
"37","IMPACT","centertogrid","weighted",5.34711911764706
"38","OCCURRENCE","centertogrid","weighted",5.10332794117647
"39","IMPACT","classic","weighted",7.32816764705882
"40","OCCURRENCE","classic","weighted",8.67035735294118
"41","IMPACT","reachedgrid","weighted",5.37609558823529
"42","OCCURRENCE","reachedgrid","weighted",5.06735735294118
