"","category","combined_p_value"
"1","IMP.classic.weighted",0
"2","OCC.classic.weighted",0
"3","IMP.area.weighted",0
"4","OCC.area.weighted",0
"5","IMP.center.weighted",0
"6","OCC.center.weighted",0
"7","IMP.centertogrid.weighted",0
"8","OCC.centertogrid.weighted",2.65652038737957e-46
"9","IMP.reachedgrid.weighted",0
"10","OCC.reachedgrid.weighted",0
"11","IMP.pooling.weighted",1
"12","OCC.pooling.weighted",1
