"","scenario","type","group","method","impact_Median","impact_StandardDeviation","impact_Mean","impact_FirstQuartile","impact_ThirdQuartile","impact_InterquartileRange","impact_Minimum","impact_Maximum","impact_Range","occurrence_Median","occurrence_StandardDeviation","occurrence_Mean","occurrence_FirstQuartile","occurrence_ThirdQuartile","occurrence_InterquartileRange","occurrence_Minimum","occurrence_Maximum","occurrence_Range"
"1","281","Risiko","all","classic",50,17.93,48.29,30,50,20,10,90,80,60,20.15,57.14,50,70,20,10,90,80
"2","281","Risiko","all","graphic center to grid",50,23.57,55.43,50,70,20,10,90,80,50,25,48.86,30,70,40,10,90,80
"3","281","Risiko","all","graphic center",55.94,22.43,55.14,41.81,69.53,27.72,13.62,93.88,80.25,48.81,24.07,48.27,27.56,66.16,38.59,3.88,92.88,89
"4","281","Risiko","all","graphic grid reached",50,24.08,53.29,30,70,40,10,90,80,50,24.25,47.09,30,70,40,10,90,80
"5","281","Risiko","all","graphic areas",55.75,23.1,53.98,37.25,71,33.75,0.25,100,99.75,48,23.73,48.86,30.25,68,37.75,0.75,99.75,99
"6","281","Risiko","all","weighted",56.75,22.91,54.88,38.5,71.75,33.25,0.25,100,99.75,47.75,23.88,48.36,28.75,67.5,38.75,0.75,99.75,99
"7","281","Risiko","all","pooling ",55.19,0.24,55.19,55.03,55.35,0.32,54.47,55.91,1.44,48.33,0.14,48.33,48.23,48.43,0.19,47.9,48.76,0.86
"8","282","Risiko","all","classic",70,19.57,59.72,50,70,20,10,90,80,50,22.68,53.89,50,70,20,10,90,80
"9","282","Risiko","all","graphic center to grid",70,21.43,61.67,50,70,20,10,90,80,50,24.44,50,30,70,40,10,90,80
"10","282","Risiko","all","graphic center",64.81,20.45,61.59,48.12,77.75,29.62,14.5,92.38,77.88,48.88,24.12,49.71,33.69,70.91,37.22,8.12,91.5,83.38
"11","282","Risiko","all","graphic grid reached",70,23.7,58.35,50,70,20,10,90,80,50,25.09,48.61,30,70,40,10,90,80
"12","282","Risiko","all","graphic areas",60.5,22.57,58.15,41.5,76,34.5,2,99.75,97.75,47.75,23.3,48.22,30.75,65.25,34.5,0,96,96
"13","282","Risiko","all","weighted",62.75,22.45,59.79,43.5,77.5,34,2,99.75,97.75,48.25,23.52,48.98,31.25,66.75,35.5,0,96,96
"14","282","Risiko","all","pooling ",67.31,0.25,67.31,67.14,67.48,0.34,66.56,68.06,1.5,48.24,0.16,48.24,48.14,48.35,0.21,47.78,48.71,0.93
"15","283","Risiko","all","classic",70,17.26,62.5,50,70,20,10,90,80,50,18.17,57.22,50,70,20,10,90,80
"16","283","Risiko","all","graphic center to grid",70,19.63,61.27,50,70,20,10,90,80,50,22.76,49.44,30,70,40,10,90,80
"17","283","Risiko","all","graphic center",58.56,18.71,61.93,50.25,77.31,27.06,18.75,95.5,76.75,48.38,22.4,49.25,32.53,63.56,31.03,8.62,93.75,85.12
"18","283","Risiko","all","graphic grid reached",70,23.24,59.06,50,70,20,10,90,80,50,23.27,48.43,30,70,40,10,90,80
"19","283","Risiko","all","graphic areas",60.75,21.85,59.33,43.25,76.5,33.25,1.5,100,98.5,46.25,21.64,47.04,31.5,60.5,29,1.5,98.25,96.75
"20","283","Risiko","all","weighted",63,20.42,61.51,46,77.5,31.5,1.5,100,98.5,46.5,21.76,47.32,31.5,61,29.5,1.5,98.25,96.75
"21","283","Risiko","all","pooling ",67.58,0.24,67.58,67.42,67.73,0.32,66.87,68.28,1.41,60.23,0.16,60.23,60.12,60.34,0.22,59.75,60.71,0.96
"22","284","Risiko","all","classic",70,17.79,62.29,50,70,20,10,90,80,50,21.44,53.14,50,70,20,10,90,80
"23","284","Risiko","all","graphic center to grid",70,21.44,61.14,50,70,20,10,90,80,50,26.47,45.14,30,70,40,10,90,80
"24","284","Risiko","all","graphic center",68.31,19.76,61.17,47.47,76.72,29.25,8.75,93.5,84.75,45.12,25.42,45.42,22.06,65,42.94,6.88,94.5,87.62
"25","284","Risiko","all","graphic grid reached",70,23.34,58.8,50,70,20,10,90,80,50,24.73,44.75,30,70,40,10,90,80
"26","284","Risiko","all","graphic areas",62.5,22.75,59.78,42.75,77.94,35.19,1.75,100,98.25,44.75,25.17,46.18,24.44,65.5,41.06,0,99.25,99.25
"27","284","Risiko","all","weighted",64.5,21.84,61.11,44.5,78.25,33.75,1.75,100,98.25,44.5,25.2,45.94,24,65,41,0,99.25,99.25
"28","284","Risiko","all","pooling ",69.3,0.25,69.3,69.14,69.47,0.33,68.56,70.04,1.47,51.08,0.16,51.08,50.97,51.19,0.22,50.59,51.56,0.97
"29","285","Risiko","all","classic",70,15.7,61.83,50,70,20,30,90,60,70,16.67,66.34,70,70,0,10,90,80
"30","285","Risiko","all","graphic center to grid",50,22.25,59.14,50,70,20,10,90,80,70,25.21,56.2,30,70,40,10,90,80
"31","285","Risiko","all","graphic center",56.12,21.27,58.12,42.19,78.5,36.31,17,91.5,74.5,60.75,24.19,56.29,38.75,76.88,38.12,5.12,96,90.88
"32","285","Risiko","all","graphic grid reached",50,24.16,55,30,70,40,10,90,80,70,24.94,56.84,30,70,40,10,90,80
"33","285","Risiko","all","graphic areas",53,23.4,53.52,35.75,72.5,36.75,0.75,100,99.25,59.5,23.67,56.08,41.5,74.75,33.25,1,98.5,97.5
"34","285","Risiko","all","weighted",54.75,22.89,55.84,38.5,75.75,37.25,0.75,100,99.25,60,23.68,56.68,42.25,75.5,33.25,1,98.5,97.5
"35","285","Risiko","all","pooling ",68.57,0.23,68.57,68.42,68.73,0.31,67.88,69.26,1.37,60.53,0.16,60.53,60.42,60.64,0.22,60.05,61.02,0.97
"36","286","Risiko","all","classic",50,18.36,50.62,30,70,40,10,90,80,70,19,66.31,50,70,20,10,90,80
"37","286","Risiko","all","graphic center to grid",50,23,48.46,30,50,20,10,90,80,70,22.92,65.08,50,90,40,10,90,80
"38","286","Risiko","all","graphic center",48.38,22.75,48.75,32.75,59.12,26.38,10.62,92.5,81.88,64.25,21.8,64.14,49.5,83,33.5,9.12,97.25,88.12
"39","286","Risiko","all","graphic grid reached",50,24.89,48.18,30,70,40,10,90,80,70,22.11,63.96,50,90,40,10,90,80
"40","286","Risiko","all","graphic areas",45.5,23.48,46.57,28.25,61.75,33.5,0,99.25,99.25,67.5,21.91,64.34,50.25,82.75,32.5,1.25,100,98.75
"41","286","Risiko","all","weighted",46,23.3,46.86,29,61,32,0,99.25,99.25,68.5,21.01,65.64,51,83.25,32.25,1.25,100,98.75
"42","286","Risiko","all","pooling ",49.8,0.23,49.8,49.64,49.95,0.32,49.09,50.5,1.4,69.74,0.16,69.74,69.63,69.85,0.21,69.26,70.22,0.95
"43","287","Chance","all","classic",70,17.39,73.33,70,90,20,10,90,80,70,16.65,72.42,70,90,20,10,90,80
"44","287","Chance","all","graphic center to grid",70,21.87,71.21,50,90,40,10,90,80,70,23.48,67.85,50,90,40,10,90,80
"45","287","Chance","all","graphic center",79.62,20.5,70.69,53.75,86.56,32.81,9.12,95.75,86.62,71.81,23.3,65.39,49.06,84.97,35.91,11.12,94.88,83.75
"46","287","Chance","all","graphic grid reached",70,24.07,65,50,90,40,10,90,80,70,25.2,61.87,50,90,40,10,90,80
"47","287","Chance","all","graphic areas",72.5,23.76,66.18,50,85.5,35.5,1.25,100,98.75,64.25,25.01,60.18,42.25,81.5,39.25,0,100,100
"48","287","Chance","all","weighted",76.75,22.08,70.1,56,87.25,31.25,1.25,100,98.75,68.75,23.42,63.95,48,83.5,35.5,0,100,100
"49","287","Chance","all","pooling ",71.79,0.28,71.79,71.6,71.98,0.37,70.96,72.61,1.65,78.07,0.17,78.07,77.96,78.18,0.22,77.57,78.57,1
"50","288","Chance","all","classic",70,19.84,58.18,50,70,20,10,90,80,70,18.31,60,50,70,20,10,90,80
"51","288","Chance","all","graphic center to grid",70,23.59,60.61,50,70,20,10,90,80,50,25.35,53.94,35,70,35,10,90,80
"52","288","Chance","all","graphic center",61,22.21,60.65,50.72,78.09,27.38,6.12,94.5,88.38,53.5,25.29,54.14,40.28,74.16,33.88,6.5,93.25,86.75
"53","288","Chance","all","graphic grid reached",70,23.36,58.3,50,70,20,10,90,80,50,25.35,52.26,30,70,40,10,90,80
"54","288","Chance","all","graphic areas",60.25,23.01,58.15,42.25,76.5,34.25,2.25,100,97.75,52.25,24.27,51.89,35.5,70.75,35.25,0.25,99,98.75
"55","288","Chance","all","weighted",61.75,22.9,59.48,45,77.75,32.75,2.25,100,97.75,52.25,24.46,52.13,35.75,71.25,35.5,0.25,99,98.75
"56","288","Chance","all","pooling ",60.3,0.24,60.3,60.14,60.46,0.32,59.59,61.01,1.42,61.83,0.16,61.83,61.72,61.94,0.22,61.35,62.32,0.97
"57","289","Risiko","all","classic",70,19.71,67.65,50,90,40,30,90,60,50,21.73,47.65,30,55,25,10,90,80
"58","289","Risiko","all","graphic center to grid",70,21.45,67.65,50,90,40,10,90,80,30,23.81,39.41,25,50,25,10,90,80
"59","289","Risiko","all","graphic center",72.69,20.16,67.78,50.88,84.91,34.03,15.38,95,79.62,37.5,23.39,39.34,20.03,53,32.97,4.5,94.88,90.38
"60","289","Risiko","all","graphic grid reached",70,23.66,63.78,50,90,40,10,90,80,30,24.16,39.82,10,50,40,10,90,80
"61","289","Risiko","all","graphic areas",66.5,23.15,62.87,47.5,81.5,34,1.75,100,98.25,43.5,23.5,42.24,21.5,57.5,36,0.5,98.25,97.75
"62","289","Risiko","all","weighted",70,22.15,65.8,51,83.5,32.5,1.75,100,98.25,42.25,23.57,41.59,20.75,56.75,36,0.5,98.25,97.75
"63","289","Risiko","all","pooling ",79.94,0.27,79.94,79.76,80.13,0.37,79.13,80.76,1.63,37.23,0.17,37.23,37.12,37.34,0.23,36.72,37.74,1.02
"64","290","Chance","all","classic",70,18.57,68.82,50,90,40,10,90,80,70,17.27,69.41,65,90,25,10,90,80
"65","290","Chance","all","graphic center to grid",60,21.92,61.76,50,90,40,10,90,80,70,28.46,62.54,50,90,40,10,90,80
"66","290","Chance","all","graphic center",59.69,22.2,62.04,48.38,81.62,33.25,6.62,92.5,85.88,67.88,26.85,61.42,44.41,84.19,39.78,6.38,96.12,89.75
"67","290","Chance","all","graphic grid reached",70,24.02,58.83,50,70,20,10,90,80,70,26.47,60.26,50,90,40,10,90,80
"68","290","Chance","all","graphic areas",58.25,23.22,58.34,41.5,78.81,37.31,1,100,99,61.5,26.52,57.59,37.5,80.75,43.25,1.25,100,98.75
"69","290","Chance","all","weighted",60.25,23.22,60.18,43.75,81,37.25,1,100,99,64.25,26.44,59.56,41.75,82,40.25,1.25,100,98.75
"70","290","Chance","all","pooling ",63.6,0.26,63.6,63.43,63.77,0.34,62.83,64.36,1.53,77.29,0.18,77.29,77.17,77.41,0.24,76.75,77.83,1.08
"71","291","Chance","all","classic",70,21.84,64.93,50,90,40,10,90,80,70,18.64,64.08,50,70,20,10,90,80
"72","291","Chance","all","graphic center to grid",70,25.41,62.11,50,90,40,10,90,80,50,26.59,51.13,30,70,40,10,90,80
"73","291","Chance","all","graphic center",71.12,24.04,62.72,48.38,83.12,34.75,6.62,93,86.38,51.12,25.72,51.34,30.69,72.75,42.06,9.75,95.25,85.5
"74","291","Chance","all","graphic grid reached",70,25.72,60.14,50,90,40,10,90,80,50,26.22,52.46,30,70,40,10,90,80
"75","291","Chance","all","graphic areas",65.25,24.82,60.27,41.5,80.75,39.25,2,100,98,53.75,25.32,51.95,31.5,72.75,41.25,0.75,100,99.25
"76","291","Chance","all","weighted",67.75,24.68,61.86,43.75,82.25,38.5,2,100,98,53.25,25.53,51.46,30,72.5,42.5,0.75,100,99.25
"77","291","Chance","all","pooling ",72.68,0.26,72.68,72.51,72.86,0.35,71.9,73.47,1.57,53.06,0.15,53.06,52.95,53.16,0.21,52.59,53.52,0.92
"78","292","Chance","all","classic",70,20.01,67.71,50,90,40,10,90,80,70,17.93,68.29,70,70,0,10,90,80
"79","292","Chance","all","graphic center to grid",70,17.36,73.19,70,90,20,10,90,80,50,24.55,57.83,50,70,20,10,90,80
"80","292","Chance","all","graphic center",75.75,17.47,71.64,64.78,85.09,20.31,16.12,94.88,78.75,58,23.31,58.26,46.88,79.22,32.34,5.12,97.38,92.25
"81","292","Chance","all","graphic grid reached",70,21.37,68.1,50,90,40,10,90,80,50,24.41,57.75,50,70,20,10,90,80
"82","292","Chance","all","graphic areas",72.25,21.5,67.4,54.75,83.75,29,0.75,100,99.25,59.5,23.85,57.91,43,77.75,34.75,0.25,100,99.75
"83","292","Chance","all","weighted",74.75,19.67,70.36,59.75,85,25.25,0.75,100,99.25,60,23.33,58.78,44.75,78.5,33.75,0.25,100,99.75
"84","292","Chance","all","pooling ",79.73,0.26,79.73,79.55,79.9,0.35,78.95,80.5,1.56,56.5,0.17,56.5,56.38,56.61,0.23,55.97,57.02,1.04
"85","293","Chance","all","classic",70,17.84,68.25,50,90,40,30,90,60,70,17.9,68.95,70,90,20,10,90,80
"86","293","Chance","all","graphic center to grid",70,18.88,69.3,50,90,40,10,90,80,70,23.84,66.84,50,90,40,10,90,80
"87","293","Chance","all","graphic center",69.75,17.89,68.54,54.5,82.62,28.12,11.25,95.5,84.25,72.88,21.35,66.97,52.75,84.75,32,12.75,97,84.25
"88","293","Chance","all","graphic grid reached",70,21.65,65.34,50,90,40,10,90,80,70,21.76,65.6,50,90,40,10,90,80
"89","293","Chance","all","graphic areas",67,21.19,63.81,50,80.75,30.75,1.25,100,98.75,68.5,22.87,64.81,50.5,84,33.5,1,100,99
"90","293","Chance","all","weighted",69.75,19.89,66.49,53.5,82.25,28.75,1.25,100,98.75,70.25,22.13,66.29,51.75,84.75,33,1,100,99
"91","293","Chance","all","pooling ",73.39,0.24,73.39,73.23,73.55,0.32,72.68,74.11,1.43,73.59,0.22,73.59,73.44,73.74,0.3,72.92,74.27,1.35
"92","294","Chance","all","classic",70,21.6,71.54,70,90,20,10,90,80,70,17.99,72.77,70,90,20,10,90,80
"93","294","Chance","all","graphic center to grid",70,19.18,70.92,70,90,20,10,90,80,70,26.08,69.08,50,90,40,10,90,80
"94","294","Chance","all","graphic center",71.88,17.87,70.91,64.38,84,19.62,15.75,96.88,81.12,78.5,23.79,67.8,52.12,85.88,33.75,11.25,93.62,82.38
"95","294","Chance","all","graphic grid reached",70,21.88,67.25,50,90,40,10,90,80,70,25.58,65.09,50,90,40,10,90,80
"96","294","Chance","all","graphic areas",70.25,22.48,66.1,54.75,83.5,28.75,1.75,100,98.25,73.25,25.66,64.75,48.25,85.25,37,2,100,98
"97","294","Chance","all","weighted",73.25,20.11,69.74,59.25,85,25.75,1.75,100,98.25,75.5,25.24,66.49,50.75,86,35.25,2,100,98
"98","294","Chance","all","pooling ",74.79,0.17,74.79,74.68,74.9,0.22,74.29,75.28,0.99,78.47,0.19,78.47,78.34,78.6,0.26,77.89,79.05,1.15
"99","295","Risiko","all","classic",70,14.54,64.79,50,70,20,30,90,60,70,13.95,65.34,50,70,20,30,90,60
"100","295","Risiko","all","graphic center to grid",70,18,68.08,50,90,40,10,90,80,70,20.23,61.78,50,70,20,10,90,80
"101","295","Risiko","all","graphic center",67.88,16.45,67.63,54.38,80.38,26,19.25,93.38,74.12,65.5,19.2,62.21,50,78.25,28.25,11,96.75,85.75
"102","295","Risiko","all","graphic grid reached",70,21.43,64.67,50,90,40,10,90,80,70,20.41,63.5,50,70,20,10,90,80
"103","295","Risiko","all","graphic areas",66.25,20.5,63.82,50.5,79.75,29.25,1,100,99,63.5,19.93,61.96,48.25,78.5,30.25,1,100,99
"104","295","Risiko","all","weighted",68.5,19.07,66.31,54.25,80.75,26.5,1,100,99,64.25,18.95,62.88,49,78.75,29.75,1,100,99
"105","295","Risiko","all","pooling ",72.89,0.31,72.89,72.68,73.1,0.42,71.96,73.82,1.87,62.94,0.15,62.94,62.83,63.04,0.21,62.48,63.4,0.93
"106","296","Risiko","all","classic",50,17.57,58.86,50,70,20,10,90,80,50,17.79,57.71,50,70,20,10,90,80
"107","296","Risiko","all","graphic center to grid",60,20.97,64.57,50,90,40,10,90,80,50,26.03,49.14,30,70,40,10,90,80
"108","296","Risiko","all","graphic center",61.38,19.26,64.37,49.66,82.53,32.88,19.38,97.12,77.75,52,24.39,49.95,28.09,69.69,41.59,7.75,93.38,85.62
"109","296","Risiko","all","graphic grid reached",70,22.65,60.64,50,70,20,10,90,80,50,25.37,50.76,30,70,40,10,90,80
"110","296","Risiko","all","graphic areas",59.25,21.63,59.4,44.25,77.5,33.25,2,100,98,51.25,23.88,49.09,29,67.75,38.75,0,97.25,97.25
"111","296","Risiko","all","weighted",61.75,20.61,62.16,47.25,79.75,32.5,2,100,98,52.25,24.49,49.67,28.25,69.25,41,0,97.25,97.25
"112","296","Risiko","all","pooling ",75.79,0.27,75.79,75.61,75.97,0.36,74.99,76.59,1.61,50.18,0.17,50.18,50.07,50.29,0.23,49.67,50.69,1.02
"113","297","Chance","all","classic",70,18.25,67.35,50,90,40,30,90,60,70,16.4,67.65,50,70,20,30,90,60
"114","297","Chance","all","graphic center to grid",70,23.08,66.76,50,90,40,10,90,80,70,25.84,62.65,50,90,40,10,90,80
"115","297","Chance","all","graphic center",68.56,21.49,65.56,52.16,84.22,32.06,10.5,99,88.5,68.38,23.97,62.95,47.34,84.5,37.16,6.5,94.5,88
"116","297","Chance","all","graphic grid reached",70,23.48,62,50,90,40,10,90,80,70,25.12,60.99,50,90,40,10,90,80
"117","297","Chance","all","graphic areas",63.5,22.63,61.78,46.5,81.25,34.75,3.75,100,96.25,63.5,24.68,60.38,43.31,82.5,39.19,1.5,100,98.5
"118","297","Chance","all","weighted",66.25,22.36,63.79,49,83,34,3.75,100,96.25,66.25,24.03,62.25,45.5,83.75,38.25,1.5,100,98.5
"119","297","Chance","all","pooling ",80.85,0.21,80.85,80.71,80.99,0.28,80.23,81.47,1.25,64.5,0.18,64.5,64.37,64.62,0.25,63.95,65.04,1.09
"120","298","Risiko","all","classic",50,19.35,47.31,30,70,40,10,90,80,50,20.37,41.34,30,50,20,10,90,80
"121","298","Risiko","all","graphic center to grid",50,27.4,50,30,70,40,10,90,80,30,20.39,28.51,10,50,40,10,90,80
"122","298","Risiko","all","graphic center",49.75,25.35,50.59,28.81,72.44,43.62,10.62,93.62,83,22.5,19.55,28.93,14.38,45.62,31.25,3.5,94.75,91.25
"123","298","Risiko","all","graphic grid reached",50,25.78,49.42,30,70,40,10,90,80,30,21.45,30.94,10,50,40,10,90,80
"124","298","Risiko","all","graphic areas",48.25,24.55,49.15,29.56,67.25,37.69,0,100,100,26,22.01,32.7,14.94,48,33.06,0,98.5,98.5
"125","298","Risiko","all","weighted",48.75,25.12,49.63,29,68.75,39.75,0,100,100,23.5,20.85,30.32,14,45.25,31.25,0,98.5,98.5
"126","298","Risiko","all","pooling ",53.11,0.22,53.11,52.96,53.26,0.29,52.46,53.76,1.31,33.06,0.16,33.06,32.95,33.17,0.22,32.57,33.54,0.97
"127","299","Risiko","all","classic",50,18.66,57.89,50,70,20,10,90,80,50,20.13,45.21,30,50,20,10,90,80
"128","299","Risiko","all","graphic center to grid",70,19.94,63.52,50,80,30,10,90,80,30,24.33,40.99,30,50,20,10,90,80
"129","299","Risiko","all","graphic center",64.88,18.69,63.29,48.69,79.94,31.25,19.38,96.62,77.25,39.5,24.18,42.38,20.44,57.06,36.62,4.88,95.38,90.5
"130","299","Risiko","all","graphic grid reached",70,22.71,60.58,50,70,20,10,90,80,50,24.36,42.74,30,70,40,10,90,80
"131","299","Risiko","all","graphic areas",60.25,21.64,59.56,44.25,77.75,33.5,0.75,100,99.25,41.75,24.41,42.85,21.5,60.75,39.25,0,98,98
"132","299","Risiko","all","weighted",62.75,20.24,62.07,47,79.25,32.25,0.75,100,99.25,41.75,24.4,42.82,21.25,60.5,39.25,0,98,98
"133","299","Risiko","all","pooling ",68.9,0.21,68.9,68.76,69.04,0.29,68.26,69.54,1.27,46.5,0.18,46.5,46.38,46.61,0.24,45.97,47.02,1.05
"134","300","Risiko","all","classic",70,14.48,63.7,50,70,20,30,90,60,50,19.42,52.47,30,70,40,10,90,80
"135","300","Risiko","all","graphic center to grid",70,20.76,65.07,50,90,40,10,90,80,50,23.08,47.53,30,70,40,10,90,80
"136","300","Risiko","all","graphic center",67.62,18.98,65.69,51.5,82.25,30.75,18.12,96.75,78.62,47,21.83,46.17,26.88,60,33.12,12.62,94.75,82.12
"137","300","Risiko","all","graphic grid reached",70,23.27,61.38,50,70,20,10,90,80,50,23.1,46.16,30,70,40,10,90,80
"138","300","Risiko","all","graphic areas",62,22.45,59.9,44.5,78.25,33.75,0.25,100,99.75,47.75,22.5,48.55,30,63.5,33.5,1,100,99
"139","300","Risiko","all","weighted",65.75,20.92,63.34,49,80.5,31.5,0.25,100,99.75,46.75,22.26,47.38,28.5,61.75,33.25,1,100,99
"140","300","Risiko","all","pooling ",80.86,0.23,80.86,80.71,81.02,0.31,80.17,81.56,1.39,46.5,0.15,46.5,46.39,46.6,0.21,46.03,46.96,0.93
"141","301","Risiko","all","classic",70,17.51,59.3,50,70,20,10,90,80,50,22.36,48.31,30,70,40,10,90,80
"142","301","Risiko","all","graphic center to grid",50,20.22,59.01,50,70,20,10,90,80,50,19.9,45.43,30,50,20,10,90,80
"143","301","Risiko","all","graphic center",57.38,18.5,59.2,46.62,73.88,27.25,15.62,92.88,77.25,46.12,20.26,44.88,28.75,55.88,27.12,8.88,96.88,88
"144","301","Risiko","all","graphic grid reached",50,22.76,56.32,40,70,30,10,90,80,50,22.55,45.61,30,70,40,10,90,80
"145","301","Risiko","all","graphic areas",56.75,21.25,57.33,42.25,74,31.75,0.5,100,99.5,45,22.06,45.48,28.25,59.5,31.25,0,100,100
"146","301","Risiko","all","weighted",57.5,20.29,58.74,44.25,75,30.75,0.5,100,99.5,44.75,21.04,44.82,28.25,57.75,29.5,1,98.75,97.75
"147","301","Risiko","all","pooling ",53.67,0.24,53.67,53.5,53.83,0.33,52.94,54.39,1.45,46.41,0.18,46.41,46.29,46.54,0.24,45.87,46.95,1.08
"148","302","Risiko","all","classic",70,18.48,60.14,50,70,20,10,90,80,50,21.89,43.24,30,50,20,10,90,80
"149","302","Risiko","all","graphic center to grid",70,22.88,60.99,50,70,20,10,90,80,30,26.11,38.45,10,50,40,10,90,80
"150","302","Risiko","all","graphic center",65.62,22.49,60.54,44.94,77.5,32.56,9.12,92.25,83.12,32.75,24.93,38.9,16.38,57.25,40.88,5.12,95.25,90.12
"151","302","Risiko","all","graphic grid reached",70,24.48,58.51,50,70,20,10,90,80,30,24.91,40.17,15,50,35,10,90,80
"152","302","Risiko","all","graphic areas",61.25,23.85,58.72,42.75,78,35.25,1.75,100,98.25,37.38,24.91,40.22,18.44,57.25,38.81,0.5,99,98.5
"153","302","Risiko","all","weighted",62.75,23.55,60.24,44.75,79.5,34.75,1.75,100,98.25,35.5,25.06,39.6,17.75,56.75,39,0.5,99,98.5
"154","302","Risiko","all","pooling ",60.53,0.22,60.53,60.38,60.68,0.3,59.87,61.19,1.33,38.54,0.17,38.54,38.42,38.65,0.23,38.02,39.05,1.03
"155","303","Risiko","all","classic",70,16.66,70.55,70,90,20,30,90,60,50,21.25,53.84,50,70,20,10,90,80
"156","303","Risiko","all","graphic center to grid",70,17.92,71.1,50,90,40,30,90,60,50,26.09,55.48,30,70,40,10,90,80
"157","303","Risiko","all","graphic center",73.62,16.89,71.27,56.75,86.38,29.62,31.88,96.38,64.5,53.12,24.61,55.17,34.62,77.75,43.12,11.38,96.88,85.5
"158","303","Risiko","all","graphic grid reached",70,22.65,65.8,50,90,40,10,90,80,50,24.88,54.72,30,70,40,10,90,80
"159","303","Risiko","all","graphic areas",68.75,21.77,65.21,50.5,82.75,32.25,0.5,100,99.5,55,24.13,56.01,37,77.75,40.75,1.75,100,98.25
"160","303","Risiko","all","weighted",72.25,19.25,69.22,56,84.5,28.5,0.5,100,99.5,54.75,24.34,56,36.5,78.25,41.75,1.75,100,98.25
"161","303","Risiko","all","pooling ",81.26,0.23,81.26,81.1,81.42,0.32,80.56,81.96,1.4,57.1,0.18,57.1,56.98,57.22,0.24,56.56,57.63,1.06
"162","304","Risiko","all","classic",50,16.81,58.73,50,70,20,10,90,80,70,19.7,64.65,50,70,20,10,90,80
"163","304","Risiko","all","graphic center to grid",50,22.26,60.29,50,70,20,10,90,80,50,26.09,56.57,30,70,40,10,90,80
"164","304","Risiko","all","graphic center",57.38,21.36,59.42,44.56,78.88,34.31,9.25,94,84.75,58,25.13,55,34,76.88,42.88,4.38,92.88,88.5
"165","304","Risiko","all","graphic grid reached",60,23.27,57.7,50,70,20,10,90,80,50,25.87,55.37,30,70,40,10,90,80
"166","304","Risiko","all","graphic areas",57.25,22.22,57.17,41,75.25,34.25,1.75,100,98.25,58,24.35,55.37,38,75.75,37.75,0.5,100,99.5
"167","304","Risiko","all","weighted",58.5,22.35,58.17,42.25,76.5,34.25,1.75,100,98.25,58.25,24.35,55.44,38.25,76,37.75,0.5,100,99.5
"168","304","Risiko","all","pooling ",64.84,0.27,64.84,64.66,65.02,0.36,64.04,65.63,1.59,58.67,0.17,58.67,58.56,58.79,0.22,58.18,59.17,1
"169","305","Risiko","all","classic",70,18.89,66.94,50,70,20,10,90,80,50,22.63,42.5,30,50,20,10,90,80
"170","305","Risiko","all","graphic center to grid",70,22.75,65.83,50,90,40,10,90,80,30,22.89,30.28,10,50,40,10,90,80
"171","305","Risiko","all","graphic center",71.56,22.34,65.49,50.03,84.62,34.59,14.12,94.62,80.5,26,22.42,31.8,14.56,46.84,32.28,3.5,97.5,94
"172","305","Risiko","all","graphic grid reached",70,24.83,61.81,50,90,40,10,90,80,30,22.5,33.4,10,50,40,10,90,80
"173","305","Risiko","all","graphic areas",65.75,24.2,61.71,43.75,82,38.25,0.75,100,99.25,26.75,21.87,32.54,14.75,48.75,34,0,100,100
"174","305","Risiko","all","weighted",68.75,23.39,64.32,47.75,84,36.25,0.75,100,99.25,26,21.92,32.1,14.5,48,33.5,0,100,100
"175","305","Risiko","all","pooling ",72.37,0.21,72.37,72.22,72.51,0.29,71.72,73.01,1.29,28.23,0.15,28.23,28.13,28.32,0.2,27.79,28.66,0.87
"176","306","Risiko","all","classic",70,16.65,68.81,70,70,0,10,90,80,50,21.69,44.33,30,50,20,10,90,80
"177","306","Risiko","all","graphic center to grid",70,21.14,68.81,50,90,40,30,90,60,30,21,36.57,30,50,20,10,90,80
"178","306","Risiko","all","graphic center",77.5,20.72,68.79,50.94,85.94,35,26.38,95.25,68.88,34.5,20.5,36.73,20.94,47.62,26.69,5.12,97.62,92.5
"179","306","Risiko","all","graphic grid reached",70,24.44,63.29,50,90,40,10,90,80,30,21.16,36.1,30,50,20,10,90,80
"180","306","Risiko","all","graphic areas",67.75,24.24,62.94,44.25,83.5,39.25,1.75,100,98.25,35,20.78,37.03,21.5,48,26.5,0,100,100
"181","306","Risiko","all","weighted",72.75,22.7,67.03,50,85.75,35.75,1.75,100,98.25,34.25,19.77,35.62,20.75,46.25,25.5,0,100,100
"182","306","Risiko","all","pooling ",79.75,0.25,79.75,79.58,79.92,0.34,78.99,80.51,1.51,42.59,0.17,42.59,42.48,42.7,0.22,42.1,43.09,0.99
"183","307","Risiko","all","classic",70,16.5,60.7,50,70,20,10,90,80,50,19.22,53.66,50,70,20,10,90,80
"184","307","Risiko","all","graphic center to grid",70,17.67,66.34,50,80,30,30,90,60,50,21.23,50.85,40,70,30,10,90,80
"185","307","Risiko","all","graphic center",66.12,17.07,65.58,52.06,79.88,27.81,25,91.75,66.75,50.12,19.96,50.4,39.38,62.12,22.75,7.75,95.88,88.12
"186","307","Risiko","all","graphic grid reached",70,21.54,62.76,50,70,20,10,90,80,50,21.47,51.14,30,70,40,10,90,80
